date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:17	19120/19120	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:17%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/dropify/dist/css/dropify.min.css	www.urbanui.com/libertyui/pages/path-to/node_modules/dropify/dist/css/dropify.min.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:19	19112/19112	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:19%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/dropify/dist/js/dropify.min.js	www.urbanui.com/libertyui/pages/path-to/node_modules/dropify/dist/js/dropify.min.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:20	19091/19091	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:20%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/dropzone/dist/dropzone.js	www.urbanui.com/libertyui/pages/path-to/node_modules/dropzone/dist/dropzone.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:21	19139/19139	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:21%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-file-upload/css/uploadfile.css	www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-file-upload/css/uploadfile.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:22	19175/19175	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:22%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-file-upload/js/jquery.uploadfile.min.js	www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-file-upload/js/jquery.uploadfile.min.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:23	19268/19268	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:23%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/tempusdominus-bootstrap-4/build/css/tempusdominus-bootstrap-4.min.css	www.urbanui.com/libertyui/pages/path-to/node_modules/tempusdominus-bootstrap-4/build/css/tempusdominus-bootstrap-4.min.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:24	19244/19244	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:23%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/tempusdominus-bootstrap-4/build/js/tempusdominus-bootstrap-4.js	www.urbanui.com/libertyui/pages/path-to/node_modules/tempusdominus-bootstrap-4/build/js/tempusdominus-bootstrap-4.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:25	19224/19224	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:25%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/bootstrap-datepicker/dist/css/bootstrap-datepicker.min.css	www.urbanui.com/libertyui/pages/path-to/node_modules/bootstrap-datepicker/dist/css/bootstrap-datepicker.min.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:27	19216/19216	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:26%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js	www.urbanui.com/libertyui/pages/path-to/node_modules/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:27	19196/19196	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:27%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-asColorPicker/dist/css/asColorPicker.min.css	www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-asColorPicker/dist/css/asColorPicker.min.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:28	19155/19155	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:28%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-asColor/dist/jquery-asColor.min.js	www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-asColor/dist/jquery-asColor.min.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:29	19203/19203	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:29%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-asColorPicker/dist/jquery-asColorPicker.min.js	www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-asColorPicker/dist/jquery-asColorPicker.min.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:30	19179/19179	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:30%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-asGradient/dist/jquery-asGradient.min.js	www.urbanui.com/libertyui/pages/path-to/node_modules/jquery-asGradient/dist/jquery-asGradient.min.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:32	19078/19078	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:32%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/tinymce/tinymce.min.js	www.urbanui.com/libertyui/pages/path-to/node_modules/tinymce/tinymce.min.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:33	19241/19241	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:33%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/x-editable/dist/bootstrap3-editable/css/bootstrap-editable.css	www.urbanui.com/libertyui/pages/path-to/node_modules/x-editable/dist/bootstrap3-editable/css/bootstrap-editable.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:34	19233/19233	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:34%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/x-editable/dist/bootstrap3-editable/js/bootstrap-editable.js	www.urbanui.com/libertyui/pages/path-to/node_modules/x-editable/dist/bootstrap3-editable/js/bootstrap-editable.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:35	19155/19155	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:34%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/summernote-bootstrap4/dist/summernote.css	www.urbanui.com/libertyui/pages/path-to/node_modules/summernote-bootstrap4/dist/summernote.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:36	19167/19167	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:36%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/summernote-bootstrap4/dist/summernote.min.js	www.urbanui.com/libertyui/pages/path-to/node_modules/summernote-bootstrap4/dist/summernote.min.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:37	19119/19119	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:37%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/simplemde/dist/simplemde.min.css	www.urbanui.com/libertyui/pages/path-to/node_modules/simplemde/dist/simplemde.min.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:38	19115/19115	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:38%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/simplemde/dist/simplemde.min.js	www.urbanui.com/libertyui/pages/path-to/node_modules/simplemde/dist/simplemde.min.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:39	19091/19091	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:39%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/quill/dist/quill.snow.css	www.urbanui.com/libertyui/pages/path-to/node_modules/quill/dist/quill.snow.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:42	19083/19083	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:40%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/quill/dist/quill.min.js	www.urbanui.com/libertyui/pages/path-to/node_modules/quill/dist/quill.min.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:43	19075/19075	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:43%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/ace-builds/src/ace.js	www.urbanui.com/libertyui/pages/path-to/node_modules/ace-builds/src/ace.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:44	19139/19139	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:44%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/ace-builds/src-min/mode-javascript.js	www.urbanui.com/libertyui/pages/path-to/node_modules/ace-builds/src-min/mode-javascript.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:45	19123/19123	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:45%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/ace-builds/src-min/theme-chaos.js	www.urbanui.com/libertyui/pages/path-to/node_modules/ace-builds/src-min/theme-chaos.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:47	19107/19107	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:46%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/codemirror/lib/codemirror.css	www.urbanui.com/libertyui/pages/path-to/node_modules/codemirror/lib/codemirror.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:48	19107/19107	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:48%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/codemirror/theme/ambiance.css	www.urbanui.com/libertyui/pages/path-to/node_modules/codemirror/theme/ambiance.css	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:49	19103/19103	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:48%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/codemirror/lib/codemirror.js	www.urbanui.com/libertyui/pages/path-to/node_modules/codemirror/lib/codemirror.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:49	19152/19152	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2017:35:49%20GMT	http://www.urbanui.com/libertyui/pages/path-to/node_modules/codemirror/mode/javascript/javascript.js	www.urbanui.com/libertyui/pages/path-to/node_modules/codemirror/mode/javascript/javascript.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:50	3681/3681	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-e61%22	http://www.urbanui.com/libertyui/js/codeEditor.js	www.urbanui.com/libertyui/js/codeEditor.js	(from http://www.urbanui.com/libertyui/pages/documentation.html)
00:35:51	62931/62931	---MCZ	200	added ('OK')	text/html	etag:W/%225cd00936-f5d3%22	http://www.urbanui.com/libertyui/pages/forms/basic_elements.html	www.urbanui.com/libertyui/pages/forms/basic_elements.html	(from http://www.urbanui.com/libertyui/index.html)
00:35:52	23397/23397	---MCZ	200	added ('OK')	text/html	etag:W/%225cd00936-5b65%22	http://www.urbanui.com/libertyui/pages/forms/dropify.html	www.urbanui.com/libertyui/pages/forms/dropify.html	(from http://www.urbanui.com/libertyui/pages/forms/advanced_elements.html)
00:35:52	998/998	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-3e6%22	http://www.urbanui.com/libertyui/js/formpickers.js	www.urbanui.com/libertyui/js/formpickers.js	(from http://www.urbanui.com/libertyui/pages/forms/advanced_elements.html)
00:35:53	3775/3775	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-ebf%22	http://www.urbanui.com/libertyui/js/form-addons.js	www.urbanui.com/libertyui/js/form-addons.js	(from http://www.urbanui.com/libertyui/pages/forms/advanced_elements.html)
00:35:54	5043/5043	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-13b3%22	http://www.urbanui.com/libertyui/js/x-editable.js	www.urbanui.com/libertyui/js/x-editable.js	(from http://www.urbanui.com/libertyui/pages/forms/advanced_elements.html)
00:35:55	69/69	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-45%22	http://www.urbanui.com/libertyui/js/dropify.js	www.urbanui.com/libertyui/js/dropify.js	(from http://www.urbanui.com/libertyui/pages/forms/advanced_elements.html)
00:35:56	116/116	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-74%22	http://www.urbanui.com/libertyui/js/dropzone.js	www.urbanui.com/libertyui/js/dropzone.js	(from http://www.urbanui.com/libertyui/pages/forms/advanced_elements.html)
00:35:57	185/185	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-b9%22	http://www.urbanui.com/libertyui/js/jquery-file-upload.js	www.urbanui.com/libertyui/js/jquery-file-upload.js	(from http://www.urbanui.com/libertyui/pages/forms/advanced_elements.html)
00:35:58	1421/1421	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-58d%22	http://www.urbanui.com/libertyui/js/form-repeater.js	www.urbanui.com/libertyui/js/form-repeater.js	(from http://www.urbanui.com/libertyui/pages/forms/advanced_elements.html)
00:35:59	3146/3146	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-c4a%22	http://www.urbanui.com/libertyui/js/form-validation.js	www.urbanui.com/libertyui/js/form-validation.js	(from http://www.urbanui.com/libertyui/pages/forms/validation.html)
00:36:00	802/802	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-322%22	http://www.urbanui.com/libertyui/js/bt-maxLength.js	www.urbanui.com/libertyui/js/bt-maxLength.js	(from http://www.urbanui.com/libertyui/pages/forms/validation.html)
00:36:01	1365/1365	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55626-555%22	http://www.urbanui.com/libertyui/js/wizard.js	www.urbanui.com/libertyui/js/wizard.js	(from http://www.urbanui.com/libertyui/pages/forms/wizard.html)
00:36:02	15455/15455	---MCZ	200	added ('OK')	text/css	etag:W/%225af55627-3c5f%22	http://www.urbanui.com/libertyui/vendors/summernote/dist/summernote-bs4.css	www.urbanui.com/libertyui/vendors/summernote/dist/summernote-bs4.css	(from http://www.urbanui.com/libertyui/pages/forms/text_editor.html)
00:36:08	44914/44914	---MCZ	200	added ('OK')	application/javascript	etag:W/%225af55627-af72%22	http://www.urbanui.com/libertyui/vendors/tinymce/themes/modern/theme.js	www.urbanui.com/libertyui/vendors/tinymce/themes/modern/theme.js	(from http://www.urbanui.com/libertyui/pages/forms/text_editor.html)
